nama_perusahaan,sektor,sub_sektor,kab/kota,provinsi,evaluator
CNOOC SES Ltd. Central Area,PEM,Migas EP,Kab. Kepulauan Seribu,DKI Jakarta,KLHK
CNOOC SES Ltd. North Area,PEM,Migas EP,Kab. Kepulauan Seribu,DKI Jakarta,KLHK
PT. Pertamina (Persero) Marketing Operation Region III TBBM Jakarta Group - Plumpang,PEM,Migas Distribusi,Kota Jakarta Utara,DKI Jakarta,KLHK
PT. Pertamina (Persero) Marketing Operation Region III Depot LPG Tj. Priok,PEM,Migas Distribusi,Kota Jakarta Utara,DKI Jakarta,KLHK
PT. Indonesia Power Unit Pembangkitan dan Jasa Pembangkitan Priok,PEM,Energi PLTGU,Kota Jakarta Utara,DKI Jakarta,KLHK
PT. PJB Unit Pembangkitan Muara Karang,PEM,Energi PLTGU,Kota Jakarta Utara,DKI Jakarta,KLHK
PT. Mitsubishi Krama Yuda Motor & Manufacturing,MPJ,Otomotif,Kota Jakarta Timur,DKI Jakarta,KLHK
PT. Yamaha Indonesia Motor Manufacturing - Pulogadung Plant,MPJ,Otomotif,Kota Jakarta Timur,DKI Jakarta,KLHK
PT. Astra Honda Motor Plant 2 Pegangsaan,MPJ,Otomotif,Kota Jakarta Utara,DKI Jakarta,KLHK
PT. Gaya Motor,MPJ,Otomotif,Kota Jakarta Utara,DKI Jakarta,KLHK
PT. Toyota Motor Manufacturing Indonesia - Sunter II Plant,MPJ,Otomotif,Kota Jakarta Utara,DKI Jakarta,KLHK
PT. Denso Indonesia - Jakarta Plant,MPJ,Otomotif,Kota Jakarta Utara,DKI Jakarta,KLHK
PT. PFIZER Indonesia,MPJ,Farmasi,Kota Jakarta Timur,DKI Jakarta,KLHK
PT. Indonesian Acids Industry Ltd.,MPJ,Industri Kimia,Kota Jakarta Timur,DKI Jakarta,KLHK
PT. International Chemical Industry (Interkalin) - Jakarta,MPJ,Baterai,Kota Jakarta Barat,DKI Jakarta,KLHK
PT. GS Battery (Jakarta),MPJ,Baterai,Kota Jakarta Utara,DKI Jakarta,KLHK
PT. Siemens Indonesia,MPJ,Elektronik,Kota Jakarta Timur,DKI Jakarta,KLHK
PT. Diamond Cold Storage,AGRO,Makanan dan Minuman,Kota Jakarta Utara,DKI Jakarta,KLHK
PT. Kimia Farma (Persero)Tbk. - Plant Jakarta,MPJ,Farmasi,Kota Jakarta Timur,DKI Jakarta,KLHK
PT. Bintang Toedjoe - Pulogadung,MPJ,Farmasi,Kota Jakarta Timur,DKI Jakarta,KLHK
PT. Glaxo Wellcome Indonesia,MPJ,Farmasi,Kota Jakarta Timur,DKI Jakarta,KLHK
PT. FSCM Manufacturing Indonesia,MPJ,Komponen Otomotif,Kota Jakarta Timur,DKI Jakarta,KLHK
PT. Sinar Meadow International Indonesia,AGRO,Minyak Goreng,Kota Jakarta Timur,DKI Jakarta,KLHK
PT. Wahana Citra Nabati,AGRO,Minyak Goreng,Kota Jakarta Timur,DKI Jakarta,KLHK
PT. SKF Indonesia ,MPJ,Otomotif,Kota Jakarta Timur,DKI Jakarta,KLHK
PT. Suzuki Indomobil Motor - Plant Cakung,MPJ,Otomotif,Kota Jakarta Timur,DKI Jakarta,KLHK
PT. United Tractors,MPJ,Otomotif,Kota Jakarta Timur,DKI Jakarta,KLHK
PT. Aneka Tambang (Persero) Tbk. UBPP Logam Mulia,PEM,Pengolahan Mineral,Kota Jakarta Timur,DKI Jakarta,KLHK
PT. Indolakto Factory Jakarta,AGRO,Susu,Kota Jakarta Timur,DKI Jakarta,KLHK
PT. Inkoasku,MPJ,Komponen Otomotif,Kota Jakarta Utara,DKI Jakarta,KLHK
PT. Astra Otoparts - Divisi Nusametal,MPJ,Komponen Otomotif,Kota Jakarta Utara,DKI Jakarta,KLHK
PT. Indofood CBP Sukses Makmur  Tbk - Divisi Noodle Jakarta,AGRO,Makanan dan Minuman,Kota Jakarta Utara,DKI Jakarta,KLHK
PT. Salim Ivomas Pratama - Jakarta Plant Jembatan Tiga,AGRO,Minyak Goreng,Kota Jakarta Utara,DKI Jakarta,KLHK
PT. Toyota Motor Manufacturing Indonesia - Sunter I Plant,MPJ,Otomotif,Kota Jakarta Utara,DKI Jakarta,KLHK
PT. Gemala Kempa Daya,MPJ,Otomotif,Kota Jakarta Utara,DKI Jakarta,KLHK
CNOOC SES Ltd. South Area,PEM,Migas EP,Kab. Kepulauan Seribu,DKI Jakarta,KLHK
PT. The Master Steel Manufactory (d/h. PT. Kesa Indotama),MPJ,Peleburan Logam,Kota Jakarta Timur,DKI Jakarta,KLHK
PT. Kangar Konsolidated Industries,MPJ,Kemasan Botol Kaca,Kota Jakarta Timur,DKI Jakarta,KLHK
PT. Garuda Metalindo,MPJ,Komponen Otomotif,Kota Jakarta Utara,DKI Jakarta,KLHK
PT. BASF Indonesia Cengkareng,MPJ,Industri Kimia,Kota Jakarta Barat,DKI Jakarta,KLHK
PT. KMI Wire & Cable Tbk,MPJ,Kabel,Kota Jakarta Timur,DKI Jakarta,KLHK
"PT. Asahimas Flat Glass, Tbk. - Ancol Plant",MPJ,Kaca,Kota Jakarta Utara,DKI Jakarta,KLHK
PT. Ultra Prima Abadi,AGRO,Consumer Goods,Kota Jakarta Barat,DKI Jakarta,KLHK
PT. Heinz ABC Indonesia,Agro,Makanan dan Minuman,Kota Jakarta Barat,DKI Jakarta,KLHK
"PT. Mulia Knitting Factory, Ltd.",MPJ,Tekstil,Kota Jakarta Barat,DKI Jakarta,KLHK
PT. Essence Indonesia,MPJ,Makanan dan Minuman,Kota Jakarta Pusat,DKI Jakarta,KLHK
PT. Danapaint Indonesia,MPJ,Cat,Kota Jakarta Timur,DKI Jakarta,KLHK
PT. Panasonic Manufacturing Indonesia,MPJ,Elektronik,Kota Jakarta Timur,DKI Jakarta,KLHK
PT. Integrated Healthcare Indonesia,MPJ,Farmasi,Kota Jakarta Timur,DKI Jakarta,KLHK
PT. Sandoz Indonesia,MPJ,Farmasi,Kota Jakarta Timur,DKI Jakarta,KLHK
PT. Bintang Toedjoe - Pulogadung,MPJ,Farmasi,Kota Jakarta Timur,DKI Jakarta,Provinsi DKI Jakarta
PT. Soho Industri Farmasi (Soho Group),MPJ,Farmasi,Kota Jakarta Timur,DKI Jakarta,Provinsi DKI Jakarta
PT. Actavis Indonesia,MPJ,Farmasi,Kota Jakarta Timur,DKI Jakarta,Provinsi DKI Jakarta
PT. Merck Indonesia,MPJ,Farmasi,Kota Jakarta Timur,DKI Jakarta,Provinsi DKI Jakarta
PT. Martina Berto,AGRO,Jamu,Kota Jakarta Timur,DKI Jakarta,Provinsi DKI Jakarta
PT. Mustika Ratu,AGRO,Jamu,Kota Jakarta Timur,DKI Jakarta,Provinsi DKI Jakarta
PT. Kabelindo Murni Tbk ,MPJ,Kabel,Kota Jakarta Timur,DKI Jakarta,Provinsi DKI Jakarta
PT. Huntsman Indonesia,MPJ,Kimia,Kota Jakarta Timur,DKI Jakarta,Provinsi DKI Jakarta
PT. Khong Guan Biscuit Factory Indonesia Ltd.,AGRO,Makanan dan Minuman,Kota Jakarta Timur,DKI Jakarta,Provinsi DKI Jakarta
PT. Nutricia Indonesia Sejahtera (NIS),AGRO,Makanan dan Minuman,Kota Jakarta Timur,DKI Jakarta,Provinsi DKI Jakarta
PT. Kemang Food Industries,AGRO,Pengolahan Daging,Kota Jakarta Timur,DKI Jakarta,Provinsi DKI Jakarta
PT. Frisian Flag Indonesia - Plant Pasar Rebo,AGRO,Susu,Kota Jakarta Timur,DKI Jakarta,Provinsi DKI Jakarta
